Unit:(mV)
                     CH1         CH2
Frequency              ?   2.567 kHz
Period                 ?  389.560 us
00708             400.00     1600.00
00709               0.00     1680.00
00710             400.00     1680.00
00711             400.00     1600.00
00712             400.00     1680.00
00713               0.00     1680.00
00714             400.00     1680.00
00715             400.00     1760.00
00716             400.00     1680.00
00717             400.00     1680.00
00718             400.00     1680.00
00719             400.00     1680.00
00720               0.00     1680.00
00721             400.00     1680.00
00722             800.00     1680.00
00723               0.00     1680.00
00724             400.00     1600.00
00725             400.00     1680.00
00726             400.00     1680.00
00727             400.00     1680.00
00728             400.00     1760.00
00729             400.00     1680.00
00730             400.00     1760.00
00731             400.00     1680.00
00732             400.00     1680.00
00733             400.00     1760.00
00734             400.00     1760.00
00735             400.00     1680.00
00736             400.00     1760.00
00737               0.00     1600.00
00738             400.00     1680.00
00739               0.00     1680.00
00740             400.00     1680.00
00741             400.00     1680.00
00742             400.00     1760.00
00743             400.00     1680.00
00744             400.00     1680.00
00745               0.00     1680.00
00746               0.00     1760.00
00747             400.00     1680.00
00748             400.00     1680.00
00749               0.00     1680.00
00750             400.00     1680.00
00751             400.00     1760.00
00752             400.00     1680.00
00753               0.00     1680.00
00754               0.00     1680.00
00755             400.00     1680.00
00756             400.00     1680.00
00757             400.00     1680.00
00758             400.00     1680.00
00759             400.00     1680.00
00760             400.00     1680.00
00761             400.00     1680.00
00762             400.00     1760.00
00763             400.00     1760.00
00764             400.00     1680.00
00765               0.00     1680.00
00766             400.00     1680.00
00767             400.00     1680.00
00768             400.00     1680.00
00769               0.00     1760.00
00770               0.00     1680.00
00771             400.00     1600.00
00772             400.00     1680.00
00773             400.00     1680.00
00774             400.00     1760.00
00775             400.00     1760.00
00776               0.00     1760.00
00777               0.00     1680.00
00778               0.00     1680.00
00779             400.00     1680.00
00780             400.00     1680.00
00781               0.00     1680.00
00782               0.00     1680.00
00783             400.00     1680.00
00784             400.00     1680.00
00785             400.00     1680.00
00786             400.00     1680.00
00787               0.00     1680.00
00788               0.00     1680.00
00789             400.00     1680.00
00790               0.00     1760.00
00791             400.00     1760.00
00792               0.00     1680.00
00793             400.00     1680.00
00794             400.00     1680.00
00795               0.00     1680.00
00796               0.00     2560.00
00797               0.00     1680.00
00798             800.00     1760.00
00799               0.00     1680.00
00800             400.00     1680.00
00801               0.00     1680.00
00802             400.00     1760.00
00803               0.00     1600.00
00804             400.00     1680.00
00805             400.00     1680.00
00806             400.00     2160.00
00807             400.00     1680.00
00808             400.00     1680.00
00809             400.00     1680.00
00810             400.00     1760.00
00811               0.00     1760.00
00812               0.00     1680.00
00813             400.00     1680.00
00814             400.00     1680.00
00815               0.00     1680.00
00816               0.00     1680.00
00817               0.00     1680.00
00818               0.00     1680.00
00819             400.00     1600.00
00820               0.00     1680.00
00821               0.00     1680.00
00822               0.00     1680.00
00823             400.00     1680.00
00824               0.00     1680.00
00825             400.00     1680.00
00826             400.00     1680.00
00827               0.00     1680.00
00828               0.00     1680.00
00829               0.00     1680.00
00830               0.00     1680.00
00831             400.00     1760.00
00832               0.00     1680.00
00833             400.00     1680.00
00834               0.00     1680.00
00835               0.00     1760.00
00836             400.00     1680.00
00837             400.00     1600.00
00838             400.00     1680.00
00839               0.00     1600.00
00840             400.00     1680.00
00841               0.00     1680.00
00842               0.00     1680.00
00843               0.00     1680.00
00844             400.00     1680.00
00845             400.00     1680.00
00846             400.00     1680.00
00847             400.00     1680.00
00848             400.00     1680.00
00849             400.00     1760.00
00850               0.00     1680.00
00851             400.00     1680.00
00852             400.00     1680.00
00853               0.00     1680.00
00854             400.00     1680.00
00855             400.00     1680.00
00856               0.00     1680.00
00857             400.00     1680.00
00858               0.00     1760.00
00859               0.00     1760.00
00860             400.00     1760.00
00861             400.00     1680.00
00862               0.00     1680.00
00863             400.00     1680.00
00864             400.00     1680.00
00865             400.00     1680.00
00866             400.00     1680.00
00867               0.00     1680.00
00868             400.00     1760.00
00869             400.00     1680.00
00870             400.00     1680.00
00871               0.00     1680.00
00872               0.00     1760.00
00873               0.00     1760.00
00874             400.00     1760.00
00875             400.00     1920.00
00876               0.00     1280.00
00877             400.00     2080.00
00878               0.00     1680.00
00879               0.00     1360.00
00880               0.00     2000.00
00881             400.00     1360.00
00882             400.00     1600.00
00883             400.00     1680.00
00884               0.00     1440.00
00885               0.00     1760.00
00886               0.00     2000.00
00887               0.00     1280.00
00888             400.00     1760.00
00889             400.00     1760.00
00890               0.00     1280.00
00891               0.00     2000.00
00892             400.00     1680.00
00893             400.00     1280.00
00894             400.00     2080.00
00895             400.00     1600.00
00896             400.00     1360.00
00897             800.00     2080.00
00898               0.00     1680.00
00899             400.00     1600.00
00900             400.00     2080.00
00901             400.00     1280.00
00902             400.00     1600.00
00903               0.00     2000.00
00904             400.00     1280.00
00905               0.00     1840.00
00906               0.00     1920.00
00907             400.00     1360.00
00908             400.00     2000.00
00909               0.00     1760.00
00910             400.00     1440.00
00911               0.00     2000.00
00912             400.00     1360.00
00913               0.00     2080.00
00914               0.00     1360.00
00915             400.00     2080.00
00916               0.00     1200.00
00917               0.00     2000.00
00918             400.00     1440.00
00919             800.00     1840.00
00920             400.00     1600.00
00921             400.00     1760.00
00922             400.00     1840.00
00923             400.00     1520.00
00924             400.00     2000.00
00925             400.00     1440.00
00926               0.00     2000.00
00927             400.00     1280.00
00928             400.00     2080.00
00929               0.00     1280.00
00930             400.00     2080.00
00931             400.00     1440.00
00932               0.00     1920.00
00933             400.00     1520.00
00934             400.00     1840.00
00935             400.00     1760.00
00936               0.00     1440.00
