Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	0,000000	0,000000	1,000000	2,000000	8,800000	2154,000000	3349,000000	2856,000000	1195,000000	1.0.00
	0,000000	0,000000	1,000000	2,000000	8,000000	2154,000000	3334,000000	2856,000000	1180,000000	1.0.00
	0,000000	0,000000	1,000000	3,000000	24,000000	2159,000000	3389,000000	2858,000000	1230,000000	1.0.00
	0,000000	0,000000	1,000000	3,000000	8,800000	2160,000000	3360,000000	2858,000000	1200,000000	1.0.00
	0,000000	0,000000	1,000000	3,000000	8,000000	2160,000000	3346,000000	2858,000000	1186,000000	1.0.00
	0,000000	0,000000	1,000000	4,000000	24,000000	2169,000000	3394,000000	2867,000000	1225,000000	1.0.00
	0,000000	0,000000	1,000000	4,000000	8,800000	2169,000000	3364,000000	2867,000000	1195,000000	1.0.00
	0,000000	0,000000	1,000000	4,000000	8,000000	2169,000000	3350,000000	2866,000000	1181,000000	1.0.00
	0,000000	0,000000	1,000000	5,000000	24,000000	2162,000000	3400,000000	2863,000000	1238,000000	1.0.00
	0,000000	0,000000	1,000000	5,000000	8,800000	2162,000000	3390,000000	2863,000000	1228,000000	1.0.00
	0,000000	0,000000	1,000000	5,000000	8,000000	2162,000000	3384,000000	2863,000000	1222,000000	1.0.00
	5,100000	5,000000	1,000000	1,000000	24,000000	2149,000000	3372,000000	2632,000000	1224,000000	1.0.00
	5,100000	5,000000	1,000000	1,000000	8,800000	2149,000000	3346,000000	2632,000000	1197,000000	1.0.00
	5,100000	5,000000	1,000000	1,000000	8,000000	2149,000000	3334,000000	2632,000000	1185,000000	1.0.00
	5,000000	5,000000	1,000000	2,000000	24,000000	2140,000000	3366,000000	2630,000000	1226,000000	1.0.00
	5,000000	5,000000	1,000000	2,000000	8,800000	2140,000000	3336,000000	2630,000000	1196,000000	1.0.00
	5,000000	5,000000	1,000000	2,000000	8,000000	2140,000000	3323,000000	2630,000000	1183,000000	1.0.00
	5,000000	5,000000	1,000000	3,000000	24,000000	2146,000000	3377,000000	2633,000000	1231,000000	1.0.00
	5,000000	5,000000	1,000000	3,000000	8,800000	2146,000000	3347,000000	2633,000000	1201,000000	1.0.00
	5,000000	5,000000	1,000000	3,000000	8,000000	2146,000000	3333,000000	2632,000000	1187,000000	1.0.00
	5,000000	5,000000	1,000000	4,000000	24,000000	2155,000000	3382,000000	2642,000000	1227,000000	1.0.00
	5,000000	5,000000	1,000000	4,000000	8,800000	2155,000000	3351,000000	2642,000000	1196,000000	1.0.00
	5,000000	5,000000	1,000000	4,000000	8,000000	2155,000000	3337,000000	2641,000000	1182,000000	1.0.00
	5,000000	5,000000	1,000000	5,000000	24,000000	2149,000000	3386,000000	2639,000000	1238,000000	1.0.00
	5,000000	5,000000	1,000000	5,000000	8,800000	2148,000000	3376,000000	2639,000000	1228,000000	1.0.00
	5,000000	5,000000	1,000000	5,000000	8,000000	2149,000000	3372,000000	2639,000000	1223,000000	1.0.00
	10,100000	10,000000	1,000000	1,000000	24,000000	2135,000000	3359,000000	2400,000000	1224,000000	1.0.00
	10,100000	10,000000	1,000000	1,000000	8,800000	2135,000000	3333,000000	2400,000000	1198,000000	1.0.00
	10,100000	10,000000	1,000000	1,000000	8,000000	2135,000000	3322,000000	2400,000000	1187,000000	1.0.00
	10,100000	10,000000	1,000000	2,000000	24,000000	2126,000000	3353,000000	2397,000000	1227,000000	1.0.00
	10,100000	10,000000	1,000000	2,000000	8,800000	2127,000000	3323,000000	2397,000000	1196,000000	1.0.00
	10,100000	10,000000	1,000000	2,000000	8,000000	2126,000000	3310,000000	2396,000000	1184,000000	1.0.00
	10,100000	10,000000	1,000000	3,000000	24,000000	2132,000000	3363,000000	2399,000000	1231,000000	1.0.00
	10,100000	10,000000	1,000000	3,000000	8,800000	2133,000000	3334,000000	2399,000000	1201,000000	1.0.00
	10,100000	10,000000	1,000000	3,000000	8,000000	2133,000000	3320,000000	2398,000000	1187,000000	1.0.00
	10,100000	10,000000	1,000000	4,000000	24,000000	2141,000000	3370,000000	2407,000000	1229,000000	1.0.00
	10,100000	10,000000	1,000000	4,000000	8,800000	2142,000000	3338,000000	2407,000000	1196,000000	1.0.00
	10,100000	10,000000	1,000000	4,000000	8,000000	2141,000000	3324,000000	2406,000000	1183,000000	1.0.00
	10,100000	10,000000	1,000000	5,000000	24,000000	2135,000000	3372,000000	2405,000000	1237,000000	1.0.00
	10,100000	10,000000	1,000000	5,000000	8,800000	2135,000000	3362,000000	2405,000000	1227,000000	1.0.00
