Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00464            3360.00     3360.00
00465            3360.00        0.00
00466              80.00       80.00
00467               0.00        0.00
00468              80.00     3360.00
00469            3280.00     3360.00
00470            3360.00     3440.00
00471            3280.00        0.00
00472              80.00        0.00
00473              80.00       80.00
00474              80.00     3280.00
00475            3280.00     3440.00
00476            3280.00     3360.00
00477              80.00       80.00
00478              80.00       80.00
00479              80.00        0.00
00480            3280.00     3360.00
00481            3280.00     3440.00
00482            3200.00     3440.00
00483              80.00        0.00
00484               0.00        0.00
00485              80.00     3360.00
00486            3280.00     3360.00
00487            3280.00     3360.00
00488            3280.00        0.00
00489              80.00       80.00
00490              80.00        0.00
00491              80.00     3360.00
00492            3360.00     3440.00
00493            3360.00     3360.00
00494            3360.00      -80.00
00495              80.00       80.00
00496              80.00       80.00
00497            3280.00     3360.00
00498            3280.00     3360.00
00499              80.00     3440.00
00500              80.00     3360.00
00501              80.00     3280.00
00502              80.00     3360.00
00503              80.00     3360.00
00504              80.00     3360.00
00505            3360.00      160.00
00506              80.00        0.00
00507              80.00       80.00
00508              80.00     3360.00
00509            3280.00     3360.00
00510            3280.00     3360.00
00511            3360.00       80.00
00512               0.00       80.00
00513              80.00      -80.00
00514            3280.00     3360.00
00515            3280.00     3440.00
00516            3280.00     3440.00
00517              80.00       80.00
00518              80.00        0.00
00519               0.00        0.00
00520            3280.00     3360.00
00521            3360.00     3440.00
00522            3360.00       80.00
00523              80.00       80.00
00524              80.00       80.00
00525               0.00     3360.00
00526            3280.00     3440.00
00527            3280.00     3440.00
00528            3360.00       80.00
00529              80.00       80.00
00530              80.00        0.00
00531              80.00     3280.00
00532              80.00     3360.00
00533              80.00     3440.00
00534              80.00     3360.00
00535              80.00     3360.00
00536              80.00     3360.00
00537            3280.00     3360.00
00538            3360.00     3440.00
00539              80.00       80.00
00540               0.00        0.00
00541              80.00        0.00
00542            3280.00     3360.00
00543            3360.00     3360.00
00544            3360.00       80.00
00545              80.00        0.00
00546              80.00       80.00
00547               0.00     3360.00
00548            3280.00     3440.00
00549            3280.00     3360.00
00550            3360.00       80.00
00551              80.00        0.00
00552              80.00        0.00
00553              80.00     3360.00
00554            3280.00     3360.00
00555            3360.00     3360.00
00556              80.00       80.00
00557               0.00       80.00
00558              80.00       80.00
00559            3360.00     3360.00
00560            3360.00     3360.00
00561            3360.00     3440.00
00562              80.00       80.00
00563              80.00       80.00
00564               0.00     3360.00
00565            3280.00     3440.00
00566            3280.00     3360.00
00567            3360.00       80.00
00568              80.00       80.00
00569              80.00       80.00
00570              80.00     3440.00
00571            3280.00     3360.00
00572            3360.00     3360.00
00573            3280.00       80.00
00574              80.00       80.00
00575              80.00       80.00
00576            3280.00     3360.00
00577            3360.00     3360.00
00578            3280.00     3440.00
00579              80.00        0.00
00580              80.00       80.00
00581             160.00      -80.00
00582            3280.00     3360.00
00583            3280.00     3360.00
00584            3360.00       80.00
00585              80.00       80.00
00586              80.00       80.00
00587               0.00     3360.00
00588            3280.00     3440.00
00589              80.00     3360.00
00590              80.00     3360.00
00591              80.00     3280.00
00592              80.00     3360.00
00593             160.00     3360.00
00594              80.00     3360.00
00595            3360.00     3360.00
00596              80.00        0.00
00597              80.00        0.00
00598              80.00      -80.00
00599            3280.00     3360.00
00600            3280.00     3360.00
00601            3280.00       80.00
00602              80.00        0.00
00603              80.00      -80.00
00604              80.00     3360.00
00605            3280.00     3360.00
00606            3360.00     3360.00
00607            3360.00       80.00
00608              80.00        0.00
00609              80.00       80.00
00610             -80.00     3360.00
00611            3280.00     3360.00
00612            3280.00     3360.00
00613               0.00       80.00
00614              80.00       80.00
00615               0.00      -80.00
00616            3280.00     3360.00
00617            3280.00     3360.00
00618            3280.00     3440.00
00619              80.00       80.00
00620              80.00       80.00
00621              80.00     3440.00
00622               0.00     3360.00
00623              80.00     3360.00
00624              80.00     3360.00
00625              80.00     3360.00
00626              80.00     3360.00
00627            3360.00     3360.00
00628            3280.00     3360.00
00629            3360.00       80.00
00630              80.00        0.00
00631              80.00       80.00
00632             -80.00     3360.00
00633            3360.00     3360.00
00634            3360.00     3440.00
00635              80.00        0.00
00636               0.00      -80.00
00637              80.00      -80.00
00638            3280.00     3360.00
00639            3280.00     3360.00
00640            3280.00     3520.00
00641              80.00       80.00
00642              80.00       80.00
00643              80.00     3360.00
00644            3280.00     3360.00
00645            3280.00     3360.00
00646            3280.00       80.00
00647               0.00        0.00
00648               0.00       80.00
00649               0.00     3360.00
00650            3280.00     3360.00
00651            3280.00     3360.00
00652            3360.00       80.00
00653              80.00       80.00
00654              80.00        0.00
00655            3280.00     3440.00
00656            3280.00     3360.00
00657            3360.00     3440.00
00658              80.00       80.00
00659              80.00        0.00
00660              80.00      -80.00
00661            3280.00     3440.00
00662            3360.00     3360.00
00663            3280.00       80.00
00664              80.00       80.00
00665              80.00        0.00
00666               0.00     3360.00
00667            3280.00     3440.00
00668            3280.00     3360.00
00669            3360.00       80.00
00670              80.00       80.00
00671              80.00       80.00
00672               0.00     3360.00
00673            3280.00     3360.00
00674            3360.00     3360.00
00675              80.00       80.00
00676              80.00       80.00
00677              80.00      -80.00
00678            3280.00     3360.00
00679              80.00     3360.00
00680              80.00     3360.00
00681              80.00     3360.00
00682              80.00     3360.00
00683              80.00     3280.00
00684              80.00     3360.00
00685            3360.00     3360.00
00686            3360.00       80.00
00687              80.00        0.00
00688              80.00       80.00
00689              80.00     3360.00
